gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic
TUBA1A,hgnc:20766,TUBA1A,ChEMBL,32,inhibitor,0.139031033,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
TUBB3,hgnc:20772,TUBB3,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.071060306,OLANZAPINE PAMOATE,rxcui:1294588,OLANZAPINE PAMOATE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.081992661,QUETIAPINE FUMARATE,rxcui:221153,QUETIAPINE FUMARATE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.04180018,RISPERIDONE,rxcui:35636,RISPERIDONE,TRUE,FALSE,FALSE
TUBA1B,hgnc:18809,TUBA1B,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.056848245,AMISULPRIDE,rxcui:46303,AMISULPRIDE,TRUE,FALSE,FALSE
KIF5B,hgnc:6324,KIF5B,ChEMBL,32,inhibitor,7.372506737,PRALSETINIB,rxcui:2394936,PRALSETINIB,TRUE,FALSE,TRUE
TUBB2A,hgnc:12412,TUBB2A,ChEMBL,32,inhibitor,0.043883969,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBB2B,hgnc:30829,TUBB2B,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.08360036,FLUSPIRILENE,rxcui:4507,FLUSPIRILENE,TRUE,FALSE,FALSE
TUBA3C,hgnc:12408,TUBA3C,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
TUBA1A,hgnc:20766,TUBA1A,DTC,5-Jun-23,,0.123583141,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
APP,hgnc:620,APP,DTC,5-Jun-23,,0.145629763,CLIOQUINOL,rxcui:5942,CLIOQUINOL,TRUE,FALSE,FALSE
TUBB2B,hgnc:30829,TUBB2B,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
TUBA3D,hgnc:24071,TUBA3D,DTC,5-Jun-23,,0.085108303,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
AKT1,hgnc:391,AKT1,MyCancerGenomeClinicalTrial,30-Feburary-2014,inhibitor,0.049563071,EVEROLIMUS,rxcui:141704,EVEROLIMUS,TRUE,TRUE,TRUE
DRD2,hgnc:3023,DRD2,NCI,14-Sep-17,,0.017331782,LITHIUM,rxcui:6448,LITHIUM,TRUE,FALSE,FALSE
NOS1,hgnc:7872,NOS1,NCI,14-Sep-17,,0.178727436,CIMETIDINE,rxcui:2541,CIMETIDINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,PharmGKB,5-Jun-23,,0.444126912,ropinirole,rxcui:72302,ROPINIROLE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,PharmGKB,5-Jun-23,,0.015447893,methylphenidate,rxcui:203188,METHYLPHENIDATE HYDROCHLORIDE,TRUE,FALSE,TRUE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.066619037,BROMOCRIPTINE,rxcui:1760,BROMOCRIPTINE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.444126912,ROPINIROL,rxcui:72302,ROPINIROLE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.081992661,QUETIAPINE,rxcui:221153,QUETIAPINE FUMARATE,TRUE,FALSE,FALSE
UNIPROT:P68366,hgnc:12407,TUBA4A,TdgClinicalTrial,14-Jan,,0.050652743,VINCRISTINE,rxcui:11202,VINCRISTINE,TRUE,FALSE,TRUE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.054661774,PIMOZIDE,rxcui:8331,PIMOZIDE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.118433843,BUSPIRONE,rxcui:1827,BUSPIRONE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.118433843,MINAPRINE,rxcui:30031,MINAPRINE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.444126912,ROPINIROLE,rxcui:72302,ROPINIROLE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.096900417,THIETHYLPERAZINE,rxcui:10471,THIETHYLPERAZINE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.028424122,TRIFLUOPERAZINE,rxcui:10800,TRIFLUOPERAZINE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.177650765,Naphazoline,rxcui:7247,NAPHAZOLINE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.022558827,Olanzapine,rxcui:61381,OLANZAPINE,TRUE,FALSE,FALSE
TUBULIN BETA,hgnc:20778,TUBB,TTD,2020.06.01,,0.120367457,Mebendazole,rxcui:6672,MEBENDAZOLE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.01480423,Dopamine,rxcui:3628,DOPAMINE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.236867686,Sulpiride,rxcui:10239,SULPIRIDE,TRUE,FALSE,FALSE
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.011159897,DACTINOMYCIN,rxcui:3100,DACTINOMYCIN,TRUE,FALSE,FALSE
AKT1,hgnc:391,AKT1,PharmGKB,5-Jun-23,,0.031206378,nortriptyline,rxcui:7531,NORTRIPTYLINE,TRUE,FALSE,FALSE
TUBA1A,hgnc:20766,TUBA1A,DTC,5-Jun-23,,0.021533426,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
TUBA3C,hgnc:12408,TUBA3C,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
