Source,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GSE,hsa04020,Calcium signaling pathway,Mar-33,240/8223,0.070526859,0.525084154,0.525084154,MYLK/NOS1/TRDN,3
GSE,hsa04360,Axon guidance,Feb-33,182/8223,0.165138529,0.525084154,0.525084154,EFNB1/BMP7,2
GSE,hsa05014,Amyotrophic lateral sclerosis,Mar-33,364/8223,0.177968543,0.525084154,0.525084154,RAE1/DNAH10/NOS1,3
GSE,hsa04015,Rap1 signaling pathway,Feb-33,210/8223,0.205750753,0.525084154,0.525084154,MAGI1/DRD2,2
GSE,hsa05012,Parkinson disease,Feb-33,266/8223,0.289458058,0.525084154,0.525084154,DRD2/SLC39A1,2
GSE,hsa04728,Dopaminergic synapse,Jan-33,132/8223,0.414378649,0.577021956,0.577021956,DRD2,1
GSE,hsa04080,Neuroactive ligand-receptor interaction,Feb-33,367/8223,0.436971681,0.577021956,0.577021956,DRD2/INSL3,2
GSE,hsa05010,Alzheimer disease,Feb-33,384/8223,0.460418325,0.577021956,0.577021956,NOS1/SLC39A1,2
GSE,hsa04921,Oxytocin signaling pathway,Jan-33,154/8223,0.46479841,0.577021956,0.577021956,MYLK,1
GSE,hsa05022,Pathways of neurodegeneration - multiple diseases,Feb-33,476/8223,0.577335008,0.638005282,0.638005282,DNAH10/NOS1,2
GSE,hsa04024,cAMP signaling pathway,Jan-33,225/8223,0.600423426,0.648172561,0.648172561,DRD2,1
GSE,hsa04060,Cytokine-cytokine receptor interaction,Jan-33,295/8223,0.701214059,0.714570518,0.714570518,BMP7,1
GSE,hsa05016,Huntington disease,Jan-33,306/8223,0.714621682,0.721363395,0.721363395,DNAH10,1
Full,hsa05022,Pathways of neurodegeneration - multiple diseases,27/100,476/8223,6.94E-12,3.63E-10,2.25E-10,APP/PSEN1/TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/HTT/TUBB/SQSTM1/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/CSNK1A1/GSK3B/TUBA1B/TUBA1C/TUBB2B/HAP1/PRKCA/CTNNB1/CSNK1E/TUBB2A,27
Full,hsa05010,Alzheimer disease,24/100,384/8223,1.73E-11,7.22E-10,4.47E-10,APP/PSEN1/TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/AKT1/TUBB/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/CSNK1A1/GSK3B/TUBA1B/TUBA1C/TUBB2B/CTNNB1/CSNK1E/TUBB2A,24
Full,hsa05012,Parkinson disease,20/100,266/8223,4.07E-11,1.39E-09,8.60E-10,TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/PRKACB/TUBA1A/PRKACG/TUBB/KIF5B/TUBB3/KLC3/KIF5C/KLC2/PRKACA/TUBB4A/TUBA1B/TUBA1C/TUBB2B/TUBB2A,20
Full,hsa05016,Huntington disease,19/100,306/8223,3.44E-09,8.98E-08,5.56E-08,TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/HTT/TUBB/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/TUBA1B/TUBA1C/TUBB2B/HAP1/TUBB2A,19
Full,hsa05014,Amyotrophic lateral sclerosis,20/100,364/8223,1.03E-08,2.39E-07,1.48E-07,TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/TUBB/SQSTM1/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/TUBA1B/TUBA1C/TUBB2B/HDAC6/HAP1/TUBB2A,20
Full,hsa04728,Dopaminergic synapse,9/100,132/8223,2.98E-05,0.000379529,0.000235115,KIF5A/PRKACB/AKT1/PRKACG/KIF5B/KIF5C/PRKACA/GSK3B/PRKCA,9
Full,hsa04024,cAMP signaling pathway,7/100,225/8223,0.019510733,0.066813385,0.041390312,PDE4C/ARAP3/PRKACB/AKT1/PRKACG/PRKACA/HHIP,7
Full,hsa04921,Oxytocin signaling pathway,5/100,154/8223,0.039316712,0.102714911,0.063630995,PRKACB/PRKACG/PRKACA/EEF2K/PRKCA,5
Full,hsa04015,Rap1 signaling pathway,6/100,210/8223,0.042461954,0.10692227,0.066237417,ARAP3/AKT1/PARD6A/PARD3/PRKCA/CTNNB1,6
Full,hsa04020,Calcium signaling pathway,5/100,240/8223,0.167493221,0.309788347,0.19191119,PRKACB/PDE1C/PRKACG/PRKACA/PRKCA,5
Full,hsa04360,Axon guidance,4/100,182/8223,0.180523974,0.330960619,0.205027228,PARD6A/PARD3/GSK3B/PRKCA,4
Full,hsa04060,Cytokine-cytokine receptor interaction,2/100,295/8223,0.8792557,0.900806085,0.558041543,CCL1/CLCF1,2
Full,hsa04080,Neuroactive ligand-receptor interaction,1/100,367/8223,0.989888778,0.989888778,0.613227498,PARD3,1
