gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic
PRKACG,hgnc:9382,PRKACG,ChEMBL,32,inhibitor,3.469414935,GSK-690693,drugbank:DB12745,GSK-690693,False,False,False
PRKACA,hgnc:9380,PRKACA,ChEMBL,32,inhibitor,0.173470747,GSK-690693,drugbank:DB12745,GSK-690693,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.03040209,CYC-116,chembl:CHEMBL482967,CYC-116,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.036407441,TAMATINIB,drugbank:DB07159,TAMATINIB,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.092156334,TCMDC-125758,chembl:CHEMBL546797,CHEMBL:CHEMBL546797,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.08425722,SB-202190,iuphar.ligand:4307,SB202190,False,False,False
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,Diaryl amine derivative 2,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,Diaryl amine derivative 4,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32a,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32e,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32f,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32q,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32v,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33b,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33i,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33l,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-34a,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-14,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-22,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-25,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-65a,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-74,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-8,,,,,
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.025422437,CENISERTIB,ncit:C64540,CENISERTIB,False,False,True
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.067022789,681640,chembl:CHEMBL379975,CHEMBL:CHEMBL379975,False,False,False
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,2.808573995,RICOLINOSTAT,ncit:C96431,RICOLINOSTAT,False,False,False
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.127662454,QUISINOSTAT,ncit:C77912,QUISINOSTAT,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.093619133,HINOKITIOL,chembl:CHEMBL48310,HINOKITIOL,False,False,False
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.501531071,BELINOSTAT,rxcui:1543543,BELINOSTAT,True,False,True
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,2.808573995,ACY-1215,ncit:C96431,RICOLINOSTAT,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.109222322,FASUDIL,ncit:C65624,FASUDIL,False,False,True
