gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic,ATC_Code,ATC_Category
NRAS,hgnc:7989,NRAS,JAX-CKB,5-Jun-23,,0.065654977,Palbociclib,rxcui:1601374,PALBOCICLIB,True,False,True,,
NRAS,hgnc:7989,NRAS,JAX-CKB,5-Jun-23,,0.107236462,Lorlatinib,rxcui:2103164,LORLATINIB,True,False,True,,
PIK3CA,hgnc:8975,PIK3CA,JAX-CKB,5-Jun-23,,0.013740257,Docetaxel,rxcui:1299922,DOCETAXEL ANHYDROUS,True,False,True,L01CD02,Antineoplastic agents
PTEN,hgnc:9588,PTEN,JAX-CKB,5-Jun-23,,0.048811079,Rucaparib,rxcui:1862579,RUCAPARIB,True,False,True,,
PTEN,hgnc:9588,PTEN,JAX-CKB,5-Jun-23,,0.190668278,Alpelisib,rxcui:2169285,ALPELISIB,True,False,True,,
RAD51D,hgnc:9823,RAD51D,JAX-CKB,5-Jun-23,,1.572801437,Rucaparib,rxcui:1862579,RUCAPARIB,True,False,True,,
ROS1,hgnc:10261,ROS1,JAX-CKB,5-Jun-23,,1.410392593,Lorlatinib,rxcui:2103164,LORLATINIB,True,False,True,,
RPOZ,,,ChEMBL,32,inhibitor,,RIFAPENTINE,rxcui:35617,RIFAPENTINE,True,False,False,,
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.008283715,Alpelisib,rxcui:2169285,ALPELISIB,True,False,True,,
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.007573683,Camptothecin,ncit:C338,CAMPTOTHECIN,True,False,True,,
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.015592876,Abiraterone,rxcui:1100071,ABIRATERONE ACETATE,True,False,True,,
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.044179816,Alemtuzumab,rxcui:117055,ALEMTUZUMAB,True,True,True,,
VHL,hgnc:12687,VHL,JAX-CKB,5-Jun-23,,0.409583708,Alpha 2 Interferon,rxcui:5879,INTERFERON ALFA-2A,True,True,True,,
ABL1,hgnc:76,ABL1,CGI,5-Jun-23,,0.046661435,Cabozantinib,rxcui:1363267,CABOZANTINIB S-MALATE,True,False,True,L01XE26,Antineoplastic agents
BCL2,hgnc:990,BCL2,CGI,5-Jun-23,,0.009130039,Bortezomib,rxcui:358258,BORTEZOMIB,True,False,True,,
BRCA2,hgnc:1101,BRCA2,CGI,5-Jun-23,,0.693882987,Rucaparib,rxcui:1862579,RUCAPARIB,True,False,True,,
EGFR,hgnc:3236,EGFR,CGI,5-Jun-23,,0.033559063,Sirolimus,rxcui:35302,SIROLIMUS,True,True,True,,
ERBB2,hgnc:3430,ERBB2,CGI,5-Jun-23,,0.028855212,Anastrozole,rxcui:84857,ANASTROZOLE,True,False,True,,
