gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic,Interactor_Type,ATC_Code,ATC_Category
TUBA1A,hgnc:20766,TUBA1A,ChEMBL,32,inhibitor,0.139031033,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Both,,Musculo-skeletal system
TUBB3,hgnc:20772,TUBB3,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Both,,Musculo-skeletal system
TUBA1B,hgnc:18809,TUBA1B,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Novel,,Antineoplastic agents
KIF5B,hgnc:6324,KIF5B,ChEMBL,32,inhibitor,7.372506737,PRALSETINIB,rxcui:2394936,PRALSETINIB,TRUE,FALSE,TRUE,Known,,Antineoplastic agents
TUBB2A,hgnc:12412,TUBB2A,ChEMBL,32,inhibitor,0.043883969,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Unknown,,Antineoplastic agents
TUBB2B,hgnc:30829,TUBB2B,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Both,,Antineoplastic agents
TUBA3C,hgnc:12408,TUBA3C,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Unknown,,Dermatologicals
TUBA1A,hgnc:20766,TUBA1A,DTC,5-Jun-23,,0.123583141,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Both,,Dermatologicals
APP,hgnc:620,APP,DTC,5-Jun-23,,0.145629763,CLIOQUINOL,rxcui:5942,CLIOQUINOL,TRUE,FALSE,FALSE,Both,,Dermatologicals
TUBB2B,hgnc:30829,TUBB2B,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Both,,Not classified
TUBA3D,hgnc:24071,TUBA3D,DTC,5-Jun-23,,0.085108303,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Novel,,Not classified
AKT1,hgnc:391,AKT1,MyCancerGenomeClinicalTrial,30-Feburary-2014,inhibitor,0.049563071,EVEROLIMUS,rxcui:141704,EVEROLIMUS,TRUE,TRUE,TRUE,Known,,Antineoplastic agents
