Gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
C16orf71,-0.759542441,8.682371017,-7.527865411,2.12E-13,1.54E-10,19.90143011
ENAH,0.57709714,9.97903662,7.44312255,3.81E-13,1.54E-10,19.33477766
ABLIM1,0.970678678,10.72360578,7.070729466,4.69E-12,1.27E-09,16.90711717
TULP4,0.776376463,10.33407302,7.002506469,7.35E-12,1.49E-09,16.47354351
TROVE2,0.841102014,10.53679835,6.905701865,1.38E-11,2.13E-09,15.86434979
RPGRIP1L,-0.54452014,8.369651713,-6.885374942,1.58E-11,2.13E-09,15.73733383
ZNF423,0.874876508,10.31117659,6.739260071,4.02E-11,4.65E-09,14.83358482
TNPO1,0.770253827,10.28539363,6.550166022,1.32E-10,1.21E-08,13.6883815
BBS2,0.824344702,10.55322849,6.547296036,1.34E-10,1.21E-08,13.67121376
DYDC1,-1.163039781,7.586580635,-6.498047984,1.82E-10,1.48E-08,13.37762187
HSP90AA1,2.225959895,12.60667493,6.467033888,2.21E-10,1.52E-08,13.19370439
DDAH1,1.27031946,11.16466146,6.455602264,2.37E-10,1.52E-08,13.12610347
SPTBN5,-0.69136308,8.389222083,-6.450960036,2.44E-10,1.52E-08,13.0986809
KIF5B,1.070732249,10.77971139,6.372796853,3.93E-10,2.20E-08,12.6394987
APP,1.69668441,11.65235703,6.355802118,4.35E-10,2.20E-08,12.54029735
CETN3,0.665391324,10.1961143,6.355209826,4.37E-10,2.20E-08,12.53684414
DYNLRB1,1.201183274,10.99432397,6.34356356,4.69E-10,2.20E-08,12.46899992
MAP4,1.000871622,10.90165569,6.328831312,5.12E-10,2.20E-08,12.38333221
EEF1A1,2.14932497,12.57711766,6.321932457,5.34E-10,2.20E-08,12.34327454
DPYSL2,2.151526487,12.58087303,6.31934871,5.43E-10,2.20E-08,12.32828191
PCM1,0.667048285,10.39235832,6.297241227,6.20E-10,2.39E-08,12.20021569
YWHAQ,1.996146088,12.25940607,6.275328992,7.07E-10,2.60E-08,12.07366295
CNGB3,-0.994264352,7.624459471,-6.216228183,1.01E-09,3.50E-08,11.73423276
RAB10,1.278902115,11.32347745,6.204435734,1.08E-09,3.50E-08,11.66683883
MAPRE1,0.843845353,10.62807649,6.204143079,1.08E-09,3.50E-08,11.66516772
HUWE1,1.321302791,11.10219131,6.171269632,1.31E-09,3.98E-08,11.47788956
GNGT1,-1.223171914,7.723780435,-6.163949514,1.37E-09,3.98E-08,11.43630485
AK1,0.640899442,10.35487104,6.163375065,1.38E-09,3.98E-08,11.43304329
GSN,0.479159559,9.702297928,6.149341699,1.50E-09,4.17E-08,11.3534478
ATP2A2,1.355681267,11.34914998,6.134551686,1.63E-09,4.40E-08,11.26973144
CABS1,-0.880252648,7.229832651,-6.112059235,1.86E-09,4.86E-08,11.14275295
PRKAR1A,1.412051059,11.52550141,6.067932519,2.41E-09,6.10E-08,10.89482158
CENPF,-0.80300031,8.153087627,-6.053399865,2.63E-09,6.44E-08,10.81351112
MAP1A,1.477472583,11.40415759,6.042717658,2.79E-09,6.47E-08,10.75385253
PPEF2,-1.068144847,7.596058961,-6.042417287,2.80E-09,6.47E-08,10.75217634
NEK2,-0.774845116,8.349606652,-6.029094433,3.02E-09,6.74E-08,10.67790235
YWHAE,1.343842717,11.25394204,6.025740643,3.08E-09,6.74E-08,10.65922777
CDK1,-0.762409525,7.809773457,-6.009112308,3.39E-09,7.06E-08,10.56677209
RAB8A,0.652429663,10.39822017,6.008565435,3.41E-09,7.06E-08,10.5637352
FSCB,-1.067005309,7.649996362,-6.000963854,3.56E-09,7.20E-08,10.52154723
PLK4,-0.759957729,7.949926556,-5.992604162,3.73E-09,7.34E-08,10.47520579
KIF5C,1.60794278,11.90660282,5.987245361,3.85E-09,7.34E-08,10.44552935
NPY2R,-0.758631561,8.297711522,-5.985048947,3.90E-09,7.34E-08,10.43337257
TUBA1A,2.13108665,12.59922288,5.964988156,4.38E-09,8.05E-08,10.32252036
GSTA1,-0.610427246,8.544715078,-5.950080816,4.77E-09,8.58E-08,10.24035647
GRK7,-0.749116637,7.394834077,-5.943086453,4.97E-09,8.73E-08,10.20186821
TXNDC8,-0.657567874,8.154179093,-5.926097443,5.47E-09,9.42E-08,10.10854731
ADCY10,-0.897875481,7.827780946,-5.919096347,5.70E-09,9.60E-08,10.07015843
GNAS,1.65855717,11.84606478,5.89649184,6.48E-09,1.06E-07,9.946484069
ORC1,-0.676520228,7.44706674,-5.892623997,6.63E-09,1.06E-07,9.925363904
USH2A,-0.834273051,7.16697218,-5.890566979,6.70E-09,1.06E-07,9.914136621
YWHAG,2.033983622,12.26179695,5.885788454,6.89E-09,1.07E-07,9.888068559
ARF4,1.131465835,11.06333443,5.866010291,7.71E-09,1.18E-07,9.780371657
MKS1,-0.667178583,8.717275685,-5.856796486,8.12E-09,1.22E-07,9.730309209
RP2,-0.835252781,7.91359797,-5.841170581,8.87E-09,1.31E-07,9.645565625
GSTM3,0.889097758,10.71736581,5.837524249,9.06E-09,1.31E-07,9.625819271
SKP1,1.587883759,11.79435249,5.829137427,9.50E-09,1.35E-07,9.580442515
EFCAB12,-0.599091034,8.220014569,-5.820723693,9.96E-09,1.39E-07,9.534977961
DYX1C1,-0.585407471,8.688317205,-5.807595885,1.07E-08,1.47E-07,9.464156104
SLC25A31,-1.083499711,7.593786639,-5.803319408,1.10E-08,1.48E-07,9.441115854
DYDC2,-0.74350538,8.532157495,-5.796907563,1.14E-08,1.51E-07,9.406599018
GUCA1C,-0.859691872,7.755991728,-5.792124265,1.17E-08,1.51E-07,9.380871067
ASAP1,0.663096723,10.34892338,5.790733245,1.18E-08,1.51E-07,9.373392702
HIF1A,1.248707135,10.93204916,5.782598253,1.23E-08,1.56E-07,9.329689343
ACTR3,0.961826416,10.77818221,5.774482593,1.29E-08,1.61E-07,9.286143933
TTK,-0.786850124,7.322446676,-5.737094249,1.59E-08,1.93E-07,9.086231547
SNTN,-0.935823297,7.509763458,-5.735807927,1.60E-08,1.93E-07,9.079374138
PKHD1L1,-0.933157219,7.440979926,-5.733517459,1.62E-08,1.93E-07,9.067166974
PFN2,1.82737111,11.97265735,5.731194731,1.64E-08,1.93E-07,9.05479229
PLEKHB1,1.17398775,11.21432156,5.718770763,1.76E-08,1.99E-07,8.988677129
TUBB2A,2.133876426,12.32023893,5.718463254,1.76E-08,1.99E-07,8.987042305
NPHP1,-0.755242878,8.346872822,-5.718195978,1.77E-08,1.99E-07,8.985621438
EPS15,1.233968853,11.17843431,5.713220496,1.82E-08,2.01E-07,8.959182004
ODF2,-0.329768133,9.034625319,-5.708737264,1.86E-08,2.04E-07,8.935375829
DNAH11,-0.721868018,7.916343041,-5.702948328,1.92E-08,2.04E-07,8.904660809
TUBB4A,1.647407839,11.65314736,5.702174712,1.93E-08,2.04E-07,8.90055824
CABYR,-0.379668015,8.968431828,-5.701310995,1.94E-08,2.04E-07,8.895978435
AKAP14,-0.935072599,7.69757449,-5.689675049,2.07E-08,2.15E-07,8.834339567
CYB5D1,0.343746952,9.855577184,5.687481126,2.10E-08,2.15E-07,8.822730258
TTLL7,0.660553966,10.31633348,5.680796773,2.17E-08,2.20E-07,8.787383987
