ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005819,spindle,15/93,367/19559,1.96149E-10,6.13948E-08,3.94364E-08,AKT1/APP/AURKA/CDK1/CDK5RAP2/CKAP5/CLASP1/CSNK1D/CTNNB1/HAUS5/HAUS6/HAUS7/HAUS8/HSF1/PAFAH1B1,15
GO:0099568,cytoplasmic region,12/93,254/19559,2.91397E-09,4.56036E-07,2.92931E-07,AP3B2/AP3M2/CCDC39/CCDC40/CCDC63/CCDC65/CLASP1/CTNNB1/HAP1/HIF1A/PAFAH1B1/PRKACA,12
GO:0032838,plasma membrane bounded cell projection cytoplasm,10/93,211/19559,6.39245E-08,5.19035E-06,3.33397E-06,AP3B2/AP3M2/CCDC39/CCDC40/CCDC63/CCDC65/HAP1/HIF1A/PAFAH1B1/PRKACA,10
GO:0005875,microtubule associated complex,9/93,159/19559,6.63304E-08,5.19035E-06,3.33397E-06,AURKA/CCDC65/HAUS5/HAUS6/HAUS7/HAUS8/HDAC6/PAFAH1B1/YWHAE,9
GO:0005874,microtubule,13/93,431/19559,1.2653E-07,7.92079E-06,5.08784E-06,AURKA/CDK1/CDK2AP2/CDK5RAP2/CKAP5/CLASP1/CSNK1D/HAUS5/HAUS6/HAUS7/HAUS8/HDAC6/PAFAH1B1,13
GO:0030877,beta-catenin destruction complex,4/93,12/19559,2.3027E-07,1.20124E-05,7.71608E-06,CSNK1A1/CTNNB1/CTNNBIP1/GSK3B,4
GO:0016234,inclusion body,6/93,78/19559,1.91442E-06,8.56017E-05,5.49855E-05,HAP1/HDAC6/HSP90AB1/HTT/PSEN1/SQSTM1,6
GO:0031514,motile cilium,8/93,199/19559,4.84926E-06,0.000187917,0.000120707,ANXA1/CCDC65/HAVCR1/HIF1A/PAFAH1B1/PRKACA/SQSTM1/ZBBX,8
GO:0005814,centriole,7/93,143/19559,5.40336E-06,0.000187917,0.000120707,AURKA/CCDC78/CCDC88A/CEP120/CEP290/HAP1/HTT,7
GO:1904115,axon cytoplasm,5/93,57/19559,7.50993E-06,0.000235061,0.000150989,AP3B2/AP3M2/HAP1/HIF1A/PAFAH1B1,5
GO:0042470,melanosome,6/93,105/19559,1.08229E-05,0.000282296,0.00018133,HSP90AA1/HSP90AB1/HSP90B1/HSPA8/YWHAB/YWHAE,6
GO:0048770,pigment granule,6/93,105/19559,1.08229E-05,0.000282296,0.00018133,HSP90AA1/HSP90AB1/HSP90B1/HSPA8/YWHAB/YWHAE,6
GO:0005876,spindle microtubule,5/93,66/19559,1.54981E-05,0.000373147,0.000239688,AURKA/CDK1/CLASP1/CSNK1D/PAFAH1B1,5
GO:0030426,growth cone,7/93,184/19559,2.78738E-05,0.000582928,0.000374438,HSP90AA1/APP/HAP1/HSP90AB1/PAFAH1B1/PSEN1/YWHAE,7
GO:0005925,focal adhesion,10/93,415/19559,2.79358E-05,0.000582928,0.000374438,ANXA1/AVIL/CLASP1/CTNNB1/HSP90B1/HSPA8/YWHAB/YWHAE/YWHAG/YWHAQ,10
GO:0030055,cell-substrate junction,10/93,423/19559,3.28473E-05,0.000642575,0.000412752,ANXA1/AVIL/CLASP1/CTNNB1/HSP90B1/HSPA8/YWHAB/YWHAE/YWHAG/YWHAQ,10
GO:0030427,site of polarized growth,7/93,191/19559,3.53904E-05,0.000651599,0.000418549,HSP90AA1/APP/HAP1/HSP90AB1/PAFAH1B1/PSEN1/YWHAE,7
GO:0000775,"chromosome, centromeric region",7/93,196/19559,4.17205E-05,0.000698356,0.000448582,AURKA/CKAP5/CLASP1/CSNK1A1/HSF1/PAFAH1B1/PSEN1,7
GO:0030119,AP-type membrane coat adaptor complex,4/93,41/19559,4.23922E-05,0.000698356,0.000448582,AP1G2/AP3B2/AP3M2/AP5B1,4
GO:0000776,kinetochore,6/93,137/19559,4.89351E-05,0.000765834,0.000491926,CKAP5/CLASP1/CSNK1A1/HSF1/PAFAH1B1/PSEN1,6
GO:0120111,neuron projection cytoplasm,5/93,87/19559,5.9238E-05,0.000882928,0.00056714,AP3B2/AP3M2/HAP1/HIF1A/PAFAH1B1,5
GO:0036064,ciliary basal body,6/93,155/19559,9.71068E-05,0.001381564,0.000887435,AKT1/CCDC65/CCDC88A/CEP290/CSNK1A1/CSNK1D,6
GO:0150034,distal axon,8/93,309/19559,0.000112746,0.001534328,0.000985561,HSP90AA1/APP/HAP1/HSP90AB1/HSPA8/PAFAH1B1/PSEN1/YWHAE,8
GO:0000930,gamma-tubulin complex,3/93,21/19559,0.000130078,0.00169644,0.001089692,CDK5RAP2/CEP290/CKAP5,3
