term,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042470,melanosome,Jun-93,105/19559,1.08E-05,0.000282296,0.00018133,HSP90AA1/HSP90AB1/HSP90B1/HSPA8/YWHAB/YWHAE,6
GO:0048770,pigment granule,Jun-93,105/19559,1.08E-05,0.000282296,0.00018133,HSP90AA1/HSP90AB1/HSP90B1/HSPA8/YWHAB/YWHAE,6
GO:0030426,growth cone,Jul-93,184/19559,2.79E-05,0.000582928,0.000374438,HSP90AA1/APP/HAP1/HSP90AB1/PAFAH1B1/PSEN1/YWHAE,7
GO:0030427,site of polarized growth,Jul-93,191/19559,3.54E-05,0.000651599,0.000418549,HSP90AA1/APP/HAP1/HSP90AB1/PAFAH1B1/PSEN1/YWHAE,7
GO:0150034,distal axon,Aug-93,309/19559,0.000112746,0.001534328,0.000985561,HSP90AA1/APP/HAP1/HSP90AB1/HSPA8/PAFAH1B1/PSEN1/YWHAE,8
GO:0034774,secretory granule lumen,Jul-93,322/19559,0.000867561,0.007145964,0.004590143,HSP90AA1/APP/CEP290/EEF1A1/HRNR/HSP90AB1/HSPA8,7
GO:0060205,cytoplasmic vesicle lumen,Jul-93,326/19559,0.000932263,0.007482009,0.004805999,HSP90AA1/APP/CEP290/EEF1A1/HRNR/HSP90AB1/HSPA8,7
GO:0031983,vesicle lumen,Jul-93,328/19559,0.000966012,0.007495345,0.004814565,HSP90AA1/APP/CEP290/EEF1A1/HRNR/HSP90AB1/HSPA8,7
GO:0044292,dendrite terminus,Feb-93,13/19559,0.00168608,0.010770266,0.00691818,HSP90AA1/HSP90AB1,2
GO:0101002,ficolin-1-rich granule,Apr-93,124/19559,0.002909201,0.016862593,0.010831529,HSP90AA1/EEF1A1/HSP90AB1/HSPA8,4
GO:1904813,ficolin-1-rich granule lumen,Apr-93,124/19559,0.002909201,0.016862593,0.010831529,HSP90AA1/EEF1A1/HSP90AB1/HSPA8,4
GO:0071682,endocytic vesicle lumen,Feb-93,20/19559,0.004019193,0.020623071,0.013247037,HSP90AA1/HSP90B1,2
GO:0044295,axonal growth cone,Feb-93,29/19559,0.008353382,0.036825472,0.023654498,HSP90AA1/HSP90AB1,2
GO:0005775,vacuolar lumen,Mar-93,173/19559,0.049529159,0.12591507,0.080880371,HSP90AA1/HRNR/HSPA8,3
GO:0043202,lysosomal lumen,Feb-93,96/19559,0.076534504,0.149720624,0.096171647,HSP90AA1/HSPA8,2
GO:0043209,myelin sheath,Jan-93,47/19559,0.200904762,0.293846684,0.188749678,HSP90AA1,1
GO:0030139,endocytic vesicle,Feb-93,313/19559,0.439943682,0.497120478,0.319320704,HSP90AA1/HSP90B1,2
GO:0060271,cilium assembly,29/90,377/18866,1.95E-27,5.46E-24,3.72E-24,HSP90AA1/AKAP9/ATXN10/AVIL/CCDC39/CCDC40/CCDC63/CCDC65/CCDC88A/CDK1/CDK5RAP2/CEP120/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAP1/HAUS5/HAUS6/HAUS7/HAUS8/HDAC6/HSPB11/HTT/PAFAH1B1/PRKACA/YWHAE/YWHAG,29
GO:0044782,cilium organization,29/90,397/18866,8.68E-27,1.21E-23,8.28E-24,HSP90AA1/AKAP9/ATXN10/AVIL/CCDC39/CCDC40/CCDC63/CCDC65/CCDC88A/CDK1/CDK5RAP2/CEP120/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAP1/HAUS5/HAUS6/HAUS7/HAUS8/HDAC6/HSPB11/HTT/PAFAH1B1/PRKACA/YWHAE/YWHAG,29
GO:0097711,ciliary basal body-plasma membrane docking,17/90,95/18866,1.33E-22,1.24E-19,8.44E-20,HSP90AA1/AKAP9/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,17
GO:0010389,regulation of G2/M transition of mitotic cell cycle,19/90,200/18866,9.47E-20,6.62E-17,4.52E-17,HSP90AA1/AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,19
GO:1902749,regulation of cell cycle G2/M phase transition,19/90,217/18866,4.51E-19,2.52E-16,1.72E-16,HSP90AA1/AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,19
GO:0140056,organelle localization by membrane tethering,17/90,171/18866,4.42E-18,2.06E-15,1.40E-15,HSP90AA1/AKAP9/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,17
GO:0000086,G2/M transition of mitotic cell cycle,19/90,254/18866,8.86E-18,3.54E-15,2.42E-15,HSP90AA1/AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,19
GO:0022406,membrane docking,17/90,180/18866,1.07E-17,3.73E-15,2.54E-15,HSP90AA1/AKAP9/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,17
GO:0044839,cell cycle G2/M phase transition,19/90,273/18866,3.42E-17,1.06E-14,7.25E-15,HSP90AA1/AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,19
GO:1901990,regulation of mitotic cell cycle phase transition,22/90,448/18866,1.32E-16,3.70E-14,2.53E-14,HSP90AA1/AKAP9/AKT1/ANXA1/APP/AURKA/CDK1/CDK2AP2/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,22
GO:1901987,regulation of cell cycle phase transition,22/90,486/18866,7.24E-16,1.84E-13,1.25E-13,HSP90AA1/AKAP9/AKT1/ANXA1/APP/AURKA/CDK1/CDK2AP2/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/PRKACA/YWHAE/YWHAG,22
GO:0018105,peptidyl-serine phosphorylation,15/90,310/18866,1.85E-11,3.70E-09,2.52E-09,HSP90AA1/AKAP9/AKT1/APP/AURKA/CDK1/CSNK1A1/CSNK1D/CSNK1E/CSNK1G1/GSK3B/HDAC6/HIPK1/HSP90AB1/PRKACA,15
GO:0018209,peptidyl-serine modification,15/90,333/18866,5.09E-11,9.49E-09,6.47E-09,HSP90AA1/AKAP9/AKT1/APP/AURKA/CDK1/CSNK1A1/CSNK1D/CSNK1E/CSNK1G1/GSK3B/HDAC6/HIPK1/HSP90AB1/PRKACA,15
GO:0031331,positive regulation of cellular catabolic process,13/90,390/18866,4.02E-08,3.88E-06,2.64E-06,HSP90AA1/AKT1/APP/AURKA/CSNK1A1/CSNK1D/CSNK1E/GSK3B/HDAC6/HIF1A/HSF1/HTT/PSEN1,13
