Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
HSP90AA1,GO:0007004,PMID:10197982,IDA,,P,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240320,BHF-UCL,,,
HSP90AA1,GO:0002134,GO_REF:0000107,IEA,UniProtKB:P82995|ensembl:ENSRNOP00000075715,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240129,Ensembl,,,
HSP90AA1,GO:0002135,GO_REF:0000107,IEA,UniProtKB:P82995|ensembl:ENSRNOP00000075715,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240129,Ensembl,,,
HSP90AA1,GO:0003723,PMID:22658674,HDA,,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20140203,UniProt,,,
HSP90AA1,GO:0003723,PMID:22681889,HDA,,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20140203,UniProt,,,
HSP90AA1,GO:0003729,GO_REF:0000107,IEA,UniProtKB:P82995|ensembl:ENSRNOP00000075715,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240129,Ensembl,,,
HSP90AA1,GO:0005515,PMID:12176997,IPI,UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:12526792,IPI,UniProtKB:O94826,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20040319,UniProt,,,
HSP90AA1,GO:0005515,PMID:12604615,IPI,UniProtKB:O95433,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:12853476,IPI,UniProtKB:Q99615,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20100517,UniProt,,,
HSP90AA1,GO:0005515,PMID:12855682,IPI,UniProtKB:P29477,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20050512,UniProt,,,
HSP90AA1,GO:0005515,PMID:14638689,IPI,UniProtKB:P35467,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:14676191,IPI,UniProtKB:Q15831,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:14743216,IPI,UniProtKB:O15111,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:14743216,IPI,UniProtKB:O43318-2,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:14743216,IPI,UniProtKB:Q99558,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:14743216,IPI,UniProtKB:Q9Y6K9,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:15347682,IPI,UniProtKB:P55011,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20200114,ARUK-UCL,,,
HSP90AA1,GO:0005515,PMID:15708368,IPI,UniProtKB:O43765,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170102,UniProt,,,
