term,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0060271,cilium assembly,35/108,377/18866,5.26623E-33,1.48455E-29,1.07376E-29,AKAP9/ATXN10/AVIL/CCDC39/CCDC40/CCDC63/CCDC65/CCDC88A/CDK1/CDK5RAP2/CEP120/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAP1/HAUS5/HAUS6/HAUS7/HAUS8/HDAC6/HSP90AA1/HSPB11/HTT/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,35
GO:0044782,cilium organization,35/108,397/18866,3.24028E-32,4.56718E-29,3.30338E-29,AKAP9/ATXN10/AVIL/CCDC39/CCDC40/CCDC63/CCDC65/CCDC88A/CDK1/CDK5RAP2/CEP120/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAP1/HAUS5/HAUS6/HAUS7/HAUS8/HDAC6/HSP90AA1/HSPB11/HTT/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,35
GO:0097711,ciliary basal body-plasma membrane docking,23/108,95/18866,1.03852E-31,9.75865E-29,7.05831E-29,AKAP9/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,23
GO:0010389,regulation of G2/M transition of mitotic cell cycle,25/108,200/18866,9.3828E-27,6.61253E-24,4.78276E-24,AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,25
GO:1902749,regulation of cell cycle G2/M phase transition,25/108,217/18866,7.61917E-26,4.29569E-23,3.10702E-23,AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,25
GO:0140056,organelle localization by membrane tethering,23/108,171/18866,2.14683E-25,1.00865E-22,7.29545E-23,AKAP9/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,23
GO:0022406,membrane docking,23/108,180/18866,7.28247E-25,2.93275E-22,2.12122E-22,AKAP9/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,23
GO:0000086,G2/M transition of mitotic cell cycle,25/108,254/18866,4.13514E-24,1.45712E-21,1.05392E-21,AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,25
GO:0044839,cell cycle G2/M phase transition,25/108,273/18866,2.52577E-23,7.91128E-21,5.72213E-21,AKAP9/APP/AURKA/CDK1/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,25
GO:1901990,regulation of mitotic cell cycle phase transition,28/108,448/18866,1.5056E-21,4.24429E-19,3.06984E-19,AKAP9/AKT1/ANXA1/APP/AURKA/CDK1/CDK2AP2/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,28
GO:1901987,regulation of cell cycle phase transition,28/108,486/18866,1.3439E-20,3.44404E-18,2.49103E-18,AKAP9/AKT1/ANXA1/APP/AURKA/CDK1/CDK2AP2/CDK5RAP2/CEP290/CKAP5/CLASP1/CSNK1D/CSNK1E/HAUS5/HAUS6/HAUS7/HAUS8/HSP90AA1/PAFAH1B1/PRKACA/TUBA1A/TUBA4A/TUBB/TUBB4A/TUBB4B/TUBG1/YWHAE/YWHAG,28
GO:0031023,microtubule organizing center organization,14/108,136/18866,4.06578E-14,9.55119E-12,6.90825E-12,AURKA/CCDC78/CDK1/CDK5RAP2/CEP120/CKAP5/CLASP1/CTNNB1/HAUS5/HAUS6/HAUS7/HAUS8/PAFAH1B1/TUBE1,14
GO:0032886,regulation of microtubule-based process,16/108,240/18866,5.13363E-13,1.11321E-10,8.05169E-11,AKAP9/AURKA/CCDC39/CCDC40/CCDC65/CDK2AP2/CDK5RAP2/CEP120/CKAP5/CLASP1/CTNNB1/GSK3B/HAP1/HDAC6/PAFAH1B1/TUBB4A,16
GO:0030705,cytoskeleton-dependent intracellular transport,14/108,200/18866,8.36217E-12,1.68378E-09,1.21786E-09,AP3B2/AP3M2/APP/CCDC88A/HAP1/HIF1A/HSPA8/HSPB11/HTT/PAFAH1B1/TUBA1A/TUBA1B/TUBA1C/TUBB,14
