term,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0018105,peptidyl-serine phosphorylation,15/108,310/18866,2.71602e-10,4.25358e-08,3.07656e-08,HSP90AB1/AKAP9/AKT1/APP/AURKA/CDK1/CSNK1A1/CSNK1D/CSNK1E/CSNK1G1/GSK3B/HDAC6/HIPK1/HSP90AA1/PRKACA,15
GO:0018209,peptidyl-serine modification,15/108,333/18866,7.30992e-10,1.03033e-07,7.45228e-08,HSP90AB1/AKAP9/AKT1/APP/AURKA/CDK1/CSNK1A1/CSNK1D/CSNK1E/CSNK1G1/GSK3B/HDAC6/HIPK1/HSP90AA1/PRKACA,15
GO:0090316,positive regulation of intracellular protein transport,11/108,182/18866,7.6218e-09,8.26379e-07,5.97709e-07,HSP90AB1/CDK1/CEP290/GSK3B/HSPA1L/PRKACA/PSEN1/YWHAB/YWHAE/YWHAG/YWHAQ,11
GO:1903829,positive regulation of cellular protein localization,14/108,338/18866,8.22095e-09,8.58328e-07,6.20818e-07,HSP90AB1/AKT1/CCDC88A/CDK1/CEP290/GSK3B/HSPA1L/PRKACA/PSEN1/SQSTM1/YWHAB/YWHAE/YWHAG/YWHAQ,14
GO:0043393,regulation of protein binding,11/108,211/18866,3.52703e-08,3.31423e-06,2.39714e-06,HSP90AB1/AKT1/APP/AURKA/CSNK1E/CTNNBIP1/GSK3B/HDAC5/HSF1/PRKACA/PSEN1,11
GO:0032388,positive regulation of intracellular transport,11/108,222/18866,5.93389e-08,5.39601e-06,3.90287e-06,HSP90AB1/CDK1/CEP290/GSK3B/HSPA1L/PRKACA/PSEN1/YWHAB/YWHAE/YWHAG/YWHAQ,11
GO:0051098,regulation of binding,13/108,367/18866,1.79857e-07,1.49123e-05,1.07859e-05,HSP90AB1/AKT1/APP/AURKA/CSNK1A1/CSNK1E/CTNNB1/CTNNBIP1/GSK3B/HDAC5/HSF1/PRKACA/PSEN1,13
GO:1904951,positive regulation of establishment of protein localization,13/108,370/18866,1.97469e-07,1.59047e-05,1.15037e-05,HSP90AB1/CDK1/CEP120/CEP290/GSK3B/HIF1A/HSPA1L/PRKACA/PSEN1/YWHAB/YWHAE/YWHAG/YWHAQ,13
GO:0033157,regulation of intracellular protein transport,11/108,264/18866,3.40609e-07,2.60544e-05,1.88448e-05,HSP90AB1/CDK1/CEP290/GSK3B/HSPA1L/PRKACA/PSEN1/YWHAB/YWHAE/YWHAG/YWHAQ,11
GO:1900034,regulation of cellular response to heat,7/108,79/18866,3.4197e-07,2.60544e-05,1.88448e-05,HSP90AB1/GSK3B/HSF1/HSP90AA1/HSPA1L/HSPA8/YWHAE,7
GO:0042176,regulation of protein catabolic process,13/108,397/18866,4.40626e-07,3.10531e-05,2.24603e-05,HSP90AB1/AKT1/AURKA/CSNK1A1/CSNK1D/CSNK1E/EEF1A1/EEF1A2/GSK3B/HGS/HSP90AA1/PRKACA/PSEN1,13
GO:0009408,response to heat,9/108,166/18866,4.72384e-07,3.24793e-05,2.34919e-05,HSP90AB1/AKT1/GSK3B/HSF1/HSP90AA1/HSPA1L/HSPA8/PRKACA/YWHAE,9
GO:0034605,cellular response to heat,8/108,125/18866,5.99637e-07,4.02471e-05,2.91102e-05,HSP90AB1/GSK3B/HSF1/HSP90AA1/HSPA1L/HSPA8/PRKACA/YWHAE,8
GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,8/108,131/18866,8.57288e-07,5.49249e-05,3.97265e-05,HSP90AB1/AKT1/AURKA/CSNK1A1/CSNK1D/CSNK1E/GSK3B/PSEN1,8
GO:0051222,positive regulation of protein transport,12/108,354/18866,8.76893e-07,5.49325e-05,3.9732e-05,HSP90AB1/CDK1/CEP290/GSK3B/HIF1A/HSPA1L/PRKACA/PSEN1/YWHAB/YWHAE/YWHAG/YWHAQ,12
GO:0009266,response to temperature stimulus,10/108,233/18866,9.15629e-07,5.61121e-05,4.05852e-05,HSP90AB1/AKT1/ANO3/GSK3B/HSF1/HSP90AA1/HSPA1L/HSPA8/PRKACA/YWHAE,10
GO:0032386,regulation of intracellular transport,12/108,358/18866,9.86723e-07,5.91824e-05,4.28059e-05,HSP90AB1/CDK1/CEP290/GSK3B/HAP1/HSPA1L/PRKACA/PSEN1/YWHAB/YWHAE/YWHAG/YWHAQ,12
GO:0061136,regulation of proteasomal protein catabolic process,9/108,193/18866,1.66512e-06,9.38793e-05,6.79017e-05,HSP90AB1/AKT1/AURKA/CSNK1A1/CSNK1D/CSNK1E/GSK3B/PRKACA/PSEN1,9
GO:0046824,positive regulation of nucleocytoplasmic transport,6/108,66/18866,2.10339e-06,0.000106207,7.68184e-05,HSP90AB1/CDK1/GSK3B/PRKACA/PSEN1/YWHAE,6
GO:1903362,regulation of cellular protein catabolic process,10/108,260/18866,2.46171e-06,0.000119647,8.65395e-05,HSP90AB1/AKT1/AURKA/CSNK1A1/CSNK1D/CSNK1E/GSK3B/HSP90AA1/PRKACA/PSEN1,10
GO:2000058,regulation of ubiquitin-dependent protein catabolic process,8/108,159/18866,3.67909e-06,0.000159559,0.000115407,HSP90AB1/AKT1/AURKA/CSNK1A1/CSNK1D/CSNK1E/GSK3B/PSEN1,8
GO:1903050,regulation of proteolysis involved in cellular protein catabolic process,9/108,225/18866,5.84994e-06,0.000235585,0.000170396,HSP90AB1/AKT1/AURKA/CSNK1A1/CSNK1D/CSNK1E/GSK3B/PRKACA/PSEN1,9
GO:0030010,establishment of cell polarity,7/108,141/18866,1.6677e-05,0.00050551,0.000365629,HSP90AB1/CDK5RAP2/CLASP1/GSK3B/HSP90AA1/HTT/PAFAH1B1,7
GO:0045787,positive regulation of cell cycle,11/108,396/18866,1.69099e-05,0.000507117,0.000366792,HSP90AB1/AKT1/ANXA1/APP/AURKA/CDK1/CEP120/CKS1B/HSF1/PAFAH1B1/PRKACA,11
GO:0010498,proteasomal protein catabolic process,12/108,483/18866,2.08256e-05,0.000575562,0.000416297,HSP90AB1/AKT1/AURKA/CDK1/CSNK1A1/CSNK1D/CSNK1E/CTNNB1/GSK3B/HSP90B1/PRKACA/PSEN1,12
GO:0035966,response to topologically incorrect protein,8/108,205/18866,2.35578e-05,0.00063247,0.000457458,HSP90AB1/HDAC6/HSF1/HSP90AA1/HSP90B1/HSPA1L/HSPA4L/HSPA8,8
GO:1901215,negative regulation of neuron death,8/108,212/18866,2.9956e-05,0.000760775,0.000550259,HSP90AB1/AKT1/CLCF1/CTNNB1/GSK3B/HIF1A/HSF1/PSEN1,8
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,11/108,424/18866,3.16853e-05,0.000790451,0.000571723,HSP90AB1/AKT1/AURKA/CDK1/CSNK1A1/CSNK1D/CSNK1E/CTNNB1/GSK3B/HSP90B1/PSEN1,11
GO:0033138,positive regulation of peptidyl-serine phosphorylation,6/108,109/18866,3.84238e-05,0.000900614,0.000651403,HSP90AB1/AKAP9/AKT1/APP/HDAC6/HSP90AA1,6
GO:0007163,establishment or maintenance of cell polarity,8/108,220/18866,3.89905e-05,0.000900937,0.000651636,HSP90AB1/CDK5RAP2/CKAP5/CLASP1/GSK3B/HSP90AA1/HTT/PAFAH1B1,8
GO:0046822,regulation of nucleocytoplasmic transport,6/108,112/18866,4.477e-05,0.001009652,0.000730269,HSP90AB1/CDK1/GSK3B/PRKACA/PSEN1/YWHAE,6
GO:0060560,developmental growth involved in morphogenesis,8/108,236/18866,6.39742e-05,0.001297434,0.000938418,HSP90AB1/APP/AURKA/CTNNB1/GSK3B/HDAC6/HSP90AA1/PAFAH1B1,8
GO:0048588,developmental cell growth,8/108,237/18866,6.58984e-05,0.00132691,0.000959738,HSP90AB1/APP/AURKA/CTNNB1/GSK3B/HDAC6/HSP90AA1/PAFAH1B1,8
GO:0006986,response to unfolded protein,7/108,183/18866,8.8059e-05,0.001700262,0.001229778,HSP90AB1/HSF1/HSP90AA1/HSP90B1/HSPA1L/HSPA4L/HSPA8,7
GO:0021953,central nervous system neuron differentiation,7/108,192/18866,0.000118815,0.002160904,0.001562955,HSP90AB1/CSNK1D/CSNK1E/CTNNB1/HSP90AA1/PAFAH1B1/PSEN1,7
GO:0032092,positive regulation of protein binding,5/108,85/18866,0.000127687,0.002292674,0.001658262,HSP90AB1/APP/GSK3B/HSF1/PSEN1,5
GO:0035304,regulation of protein dephosphorylation,6/108,139/18866,0.000148353,0.002613803,0.001890531,HSP90AB1/GSK3B/HSP90B1/HTT/YWHAB/YWHAE,6
GO:0033135,regulation of peptidyl-serine phosphorylation,6/108,145/18866,0.000186808,0.003172361,0.002294529,HSP90AB1/AKAP9/AKT1/APP/HDAC6/HSP90AA1,6
GO:0070997,neuron death,9/108,360/18866,0.000225767,0.003657688,0.00264556,HSP90AB1/AKT1/APP/CLCF1/CTNNB1/GSK3B/HIF1A/HSF1/PSEN1,9
GO:0006457,protein folding,7/108,230/18866,0.000358857,0.005409729,0.003912789,HSP90AB1/HSP90AA1/HSP90AA2P/HSP90B1/HSPA1L/HSPA4L/HSPA8,7
GO:1904589,regulation of protein import,4/108,62/18866,0.000438874,0.006217019,0.004496692,HSP90AB1/CDK1/HSPA8/PSEN1,4
GO:1990138,neuron projection extension,6/108,172/18866,0.000467288,0.006553658,0.004740179,HSP90AB1/AURKA/CTNNB1/GSK3B/HSP90AA1/PAFAH1B1,6
GO:0051099,positive regulation of binding,6/108,174/18866,0.000496774,0.006877537,0.004974436,HSP90AB1/APP/CTNNB1/GSK3B/HSF1/PSEN1,6
GO:1901214,regulation of neuron death,8/108,321/18866,0.000519006,0.007102314,0.005137015,HSP90AB1/AKT1/CLCF1/CTNNB1/GSK3B/HIF1A/HSF1/PSEN1,8
GO:1900180,regulation of protein localization to nucleus,5/108,127/18866,0.000818583,0.010394524,0.007518229,HSP90AB1/AKT1/CDK1/GSK3B/PSEN1,5
GO:0017038,protein import,6/108,200/18866,0.001028294,0.012441034,0.008998444,HSP90AB1/AKT1/CDK1/HSP90AA1/HSPA8/PSEN1,6
GO:0051054,positive regulation of DNA metabolic process,6/108,200/18866,0.001028294,0.012441034,0.008998444,HSP90AB1/AKT1/CLCF1/CTNNB1/HSF1/HSP90AA1,6
GO:1904031,positive regulation of cyclin-dependent protein kinase activity,3/108,35/18866,0.00104503,0.01253591,0.009067067,HSP90AB1/AKT1/CKS1B,3
GO:0021955,central nervous system neuron axonogenesis,3/108,36/18866,0.00113531,0.013224953,0.009565443,HSP90AB1/HSP90AA1/PAFAH1B1,3
GO:0051973,positive regulation of telomerase activity,3/108,36/18866,0.00113531,0.013224953,0.009565443,HSP90AB1/CTNNB1/HSP90AA1,3
GO:1900182,positive regulation of protein localization to nucleus,4/108,80/18866,0.001150004,0.013286322,0.00960983,HSP90AB1/AKT1/CDK1/PSEN1,4
GO:0035303,regulation of dephosphorylation,6/108,209/18866,0.001289152,0.014594855,0.010556275,HSP90AB1/GSK3B/HSP90B1/HTT/YWHAB/YWHAE,6
GO:0042307,positive regulation of protein import into nucleus,3/108,40/18866,0.001545135,0.016569312,0.011984376,HSP90AB1/CDK1/PSEN1,3
GO:0031647,regulation of protein stability,7/108,296/18866,0.00157595,0.01682804,0.012171511,HSP90AB1/AURKA/HDAC6/HSP90AA1/HSPA8/HTT/VHL,7
GO:2000008,regulation of protein localization to cell surface,3/108,41/18866,0.001660222,0.017528711,0.012678297,HSP90AB1/AKT1/CTNNB1,3
GO:1904591,positive regulation of protein import,3/108,42/18866,0.001780536,0.018120328,0.013106206,HSP90AB1/CDK1/PSEN1,3
GO:0007409,axonogenesis,9/108,482/18866,0.001801307,0.018265767,0.0132114,HSP90AB1/APP/GSK3B/HDAC6/HSP90AA1/PAFAH1B1/PSEN1/TUBB2B/TUBB3,9
