Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
HSP90AB1,GO:0016887,GO_REF:0000002,IEA,InterPro:IPR001404,F,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20240408,InterPro,,,
HSP90AB1,GO:0046983,GO_REF:0000024,ISS,UniProtKB:P08238,F,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0140662,GO_REF:0000002,IEA,InterPro:IPR001404,F,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20240408,InterPro,,,
HSP90AB1,GO:0141069,GO_REF:0000024,ISS,UniProtKB:P08238,F,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20240304,UniProt,,,
HSP90AB1,GO:0030511,GO_REF:0000024,ISS,UniProtKB:P08238,P,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0032435,GO_REF:0000024,ISS,UniProtKB:P08238,P,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0051726,GO_REF:0000024,ISS,UniProtKB:P08238,P,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0005576,GO_REF:0000024,ISS,UniProtKB:P08238,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0005634,GO_REF:0000024,ISS,UniProtKB:P08238,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0005737,GO_REF:0000024,ISS,UniProtKB:P08238,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0042470,GO_REF:0000044,IEA,UniProtKB-SubCell:SL-0161,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20240408,UniProt,,,
HSP90AB1,GO:0120293,GO_REF:0000024,ISS,UniProtKB:Q6AZV1,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20210204,UniProt,,,
HSP90AB1,GO:0034751,GO_REF:0000024,ISS,UniProtKB:P08238,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20170224,UniProt,,,
HSP90AB1,GO:0006457,GO_REF:0000033,IBA,PANTHER:PTN000163527|WB:WBGene00000915|PomBase:SPAC926.04c|CGD:CAL0000201062|UniProtKB:P0A6Z3|UniProtKB:P55737|MGI:MGI:96250|MGI:MGI:96247|UniProtKB:P27323|SGD:S000004798|SGD:S000006161,P,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20220922,GO_Central,,,
HSP90AB1,GO:0005886,GO_REF:0000033,IBA,PANTHER:PTN000163629|RGD:1303075|RGD:631409|CGD:CAL0000201062|UniProtKB:P11501,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20220922,GO_Central,,,
HSP90AB1,GO:0005524,GO_REF:0000033,IBA,PANTHER:PTN000163632|UniProtKB:P07900|RGD:1303075|RGD:631409|UniProtKB:P08238,F,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20200807,GO_Central,,,
HSP90AB1,GO:0034605,GO_REF:0000033,IBA,PANTHER:PTN000163629|WB:WBGene00000915|MGI:MGI:96250|MGI:MGI:96247|SGD:S000004798|CGD:CAL0000201062,P,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20210904,GO_Central,,,
HSP90AB1,GO:0050821,GO_REF:0000033,IBA,PANTHER:PTN000163629|WB:WBGene00000915|UniProtKB:P07900|UniProtKB:P11501|dictyBase:DDB_G0267400|UniProtKB:P55737,P,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20220922,GO_Central,,,
HSP90AB1,GO:0005829,GO_REF:0000033,IBA,PANTHER:PTN000163629|UniProtKB:P07900|MGI:MGI:96250|UniProtKB:P40292|UniProtKB:P11501|dictyBase:DDB_G0267400|UniProtKB:P08238,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20230602,GO_Central,,,
HSP90AB1,GO:0097718,GO_REF:0000033,IBA,PANTHER:PTN000163632|UniProtKB:Q76LV2|UniProtKB:P08238|UniProtKB:P07900,F,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20200807,GO_Central,,,
HSP90AB1,GO:0048471,GO_REF:0000033,IBA,PANTHER:PTN000163629|MGI:MGI:96247|FB:FBgn0001233|MGI:MGI:96250|WB:WBGene00000915|RGD:631409,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20180918,GO_Central,,,
HSP90AB1,GO:0032991,GO_REF:0000033,IBA,PANTHER:PTN000163629|FB:FBgn0001233|WB:WBGene00000915|UniProtKB:P08238|UniProtKB:P11501|RGD:631409|MGI:MGI:96247|UniProtKB:P07900|MGI:MGI:96250,C,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20231108,GO_Central,,,
HSP90AB1,GO:0051082,GO_REF:0000033,IBA,PANTHER:PTN000163527|PomBase:SPAC926.04c|FB:FBgn0001233|SGD:S000004798|SGD:S000006161,F,Heat shock cognate protein HSP 90-beta,HSPC3|HSPCB,protein,NCBITaxon:9031,20190111,GO_Central,,,
Hsp90ab1,GO:0001890,RGD:1624291,ISO,MGI:96247,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20080309,RGD,,,
Hsp90ab1,GO:0001890,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0002134,PMID:12755697|RGD:724444,IDA,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110204,RGD,,,
