ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007018,microtubule-based movement,2/2,368/18866,0.00037947,0.023272885,0.00079884,HSPA8/ZBBX,2
GO:0061635,regulation of protein complex stability,1/2,11/18866,0.00116581,0.023272885,0.00079884,HSPA8,1
GO:0072321,chaperone-mediated protein transport,1/2,11/18866,0.00116581,0.023272885,0.00079884,HSPA8,1
GO:0044794,positive regulation by host of viral process,1/2,14/18866,0.00148364,0.023272885,0.00079884,HSPA8,1
GO:0061684,chaperone-mediated autophagy,1/2,16/18866,0.001695499,0.023272885,0.00079884,HSPA8,1
GO:0044827,modulation by host of viral genome replication,1/2,18/18866,0.001907335,0.023272885,0.00079884,HSPA8,1
GO:0006622,protein targeting to lysosome,1/2,22/18866,0.00233094,0.023272885,0.00079884,HSPA8,1
GO:0042026,protein refolding,1/2,23/18866,0.002436827,0.023272885,0.00079884,HSPA8,1
GO:0048026,"positive regulation of mRNA splicing, via spliceosome",1/2,23/18866,0.002436827,0.023272885,0.00079884,HSPA8,1
GO:0044788,modulation by host of viral process,1/2,30/18866,0.00317788,0.023272885,0.00079884,HSPA8,1
GO:0051085,chaperone cofactor-dependent protein refolding,1/2,32/18866,0.003389559,0.023272885,0.00079884,HSPA8,1
GO:0050685,positive regulation of mRNA processing,1/2,33/18866,0.00349539,0.023272885,0.00079884,HSPA8,1
GO:0033120,positive regulation of RNA splicing,1/2,37/18866,0.003918658,0.023272885,0.00079884,HSPA8,1
GO:0045070,positive regulation of viral genome replication,1/2,37/18866,0.003918658,0.023272885,0.00079884,HSPA8,1
GO:0051084,'de novo' posttranslational protein folding,1/2,37/18866,0.003918658,0.023272885,0.00079884,HSPA8,1
GO:0006623,protein targeting to vacuole,1/2,40/18866,0.004236049,0.023272885,0.00079884,HSPA8,1
GO:0006458,'de novo' protein folding,1/2,41/18866,0.004341835,0.023272885,0.00079884,HSPA8,1
GO:0061462,protein localization to lysosome,1/2,43/18866,0.004553391,0.023272885,0.00079884,HSPA8,1
GO:0072666,establishment of protein localization to vacuole,1/2,52/18866,0.005505111,0.025154502,0.000863427,HSPA8,1
GO:0061077,chaperone-mediated protein folding,1/2,60/18866,0.006350702,0.025154502,0.000863427,HSPA8,1
GO:0071806,protein transmembrane transport,1/2,60/18866,0.006350702,0.025154502,0.000863427,HSPA8,1
