Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,
HSPA8,GO:0001664,PMID:12150907,IPI,UniProtKB:O15354,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140813,ParkinsonsUK-UCL,,
HSPA8,GO:0001786,GO_REF:0000107,IEA,UniProtKB:P63017|ensembl:ENSMUSP00000015800,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0003723,PMID:22658674,HDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140203,UniProt,,
HSPA8,GO:0003723,PMID:22681889,HDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140203,UniProt,,
HSPA8,GO:0005515,PMID:10722728,IPI,UniProtKB:Q99966,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20110408,UniProt,,
HSPA8,GO:0005515,PMID:10954706,IPI,UniProtKB:O75190,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20120708,UniProt,,
HSPA8,GO:0005515,PMID:14532270,IPI,UniProtKB:Q96M98,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140918,ParkinsonsUK-UCL,,
HSPA8,GO:0005515,PMID:14557246,IPI,UniProtKB:O00170,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20070321,HGNC-UCL,,
HSPA8,GO:0005515,PMID:15047060,IPI,UniProtKB:P60709,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:15657067,IPI,UniProtKB:P00533,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:15708368,IPI,UniProtKB:Q99614,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170102,UniProt,,
HSPA8,GO:0005515,PMID:15936278,IPI,UniProtKB:P25686-2,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140415,BHF-UCL,,
HSPA8,GO:0005515,PMID:16049941,IPI,UniProtKB:P05067,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:16169070,IPI,UniProtKB:Q9NZL4,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:16189514,IPI,UniProtKB:Q9NZL4,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:16275660,IPI,UniProtKB:Q9UNE7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:16293251,IPI,UniProtKB:Q9UNE7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:16531398,IPI,UniProtKB:Q96EY1-1,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20090406,UniProt,,
