term,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007018,microtubule-based movement,2-Feb,368/18866,0.00037947,0.023272885,0.00079884,HSPA8/ZBBX,2
GO:0072321,chaperone-mediated protein transport,2-Jan,11/18866,0.00116581,0.023272885,0.00079884,HSPA8,1
GO:0044794,positive regulation by host of viral process,2-Jan,14/18866,0.00148364,0.023272885,0.00079884,HSPA8,1
GO:0044827,modulation by host of viral genome replication,2-Jan,18/18866,0.001907335,0.023272885,0.00079884,HSPA8,1
GO:0006622,protein targeting to lysosome,2-Jan,22/18866,0.00233094,0.023272885,0.00079884,HSPA8,1
GO:0050685,positive regulation of mRNA processing,2-Jan,33/18866,0.00349539,0.023272885,0.00079884,HSPA8,1
GO:0033120,positive regulation of RNA splicing,2-Jan,37/18866,0.003918658,0.023272885,0.00079884,HSPA8,1
GO:0045070,positive regulation of viral genome replication,2-Jan,37/18866,0.003918658,0.023272885,0.00079884,HSPA8,1
GO:0051084,'de novo' posttranslational protein folding,2-Jan,37/18866,0.003918658,0.023272885,0.00079884,HSPA8,1
GO:0006623,protein targeting to vacuole,2-Jan,40/18866,0.004236049,0.023272885,0.00079884,HSPA8,1
GO:0006458,'de novo' protein folding,2-Jan,41/18866,0.004341835,0.023272885,0.00079884,HSPA8,1
GO:0061462,protein localization to lysosome,2-Jan,43/18866,0.004553391,0.023272885,0.00079884,HSPA8,1
GO:0072666,establishment of protein localization to vacuole,2-Jan,52/18866,0.005505111,0.025154502,0.000863427,HSPA8,1
GO:0071806,protein transmembrane transport,2-Jan,60/18866,0.006350702,0.025154502,0.000863427,HSPA8,1
GO:1903902,positive regulation of viral life cycle,2-Jan,61/18866,0.006456376,0.025154502,0.000863427,HSPA8,1
GO:0051851,modulation by host of symbiont process,2-Jan,62/18866,0.006562044,0.025154502,0.000863427,HSPA8,1
GO:0072665,protein localization to vacuole,2-Jan,68/18866,0.007195934,0.026210043,0.000899658,HSPA8,1
GO:1900034,regulation of cellular response to heat,2-Jan,79/18866,0.008357541,0.028477546,0.00097749,HSPA8,1
GO:1903313,positive regulation of mRNA metabolic process,2-Jan,82/18866,0.008674225,0.028501023,0.000978296,HSPA8,1
GO:0051702,interaction with symbiont,2-Jan,93/18866,0.009834966,0.030221771,0.001037361,HSPA8,1
GO:0051817,modulation of process of other organism involved in symbiotic interaction,2-Jan,99/18866,0.010467811,0.030221771,0.001037361,HSPA8,1
GO:0045069,regulation of viral genome replication,2-Jan,100/18866,0.010573265,0.030221771,0.001037361,HSPA8,1
GO:0048524,positive regulation of viral process,2-Jan,107/18866,0.011311289,0.030221771,0.001037361,HSPA8,1
GO:0007041,lysosomal transport,2-Jan,110/18866,0.011627501,0.030221771,0.001037361,HSPA8,1
GO:0035821,modulation of process of other organism,2-Jan,113/18866,0.011943662,0.030221771,0.001037361,HSPA8,1
GO:0048024,"regulation of mRNA splicing, via spliceosome",2-Jan,113/18866,0.011943662,0.030221771,0.001037361,HSPA8,1
GO:0051261,protein depolymerization,2-Jan,115/18866,0.012154408,0.030221771,0.001037361,HSPA8,1
GO:0019079,viral genome replication,2-Jan,127/18866,0.013418412,0.03165369,0.001086511,HSPA8,1
GO:0034620,cellular response to unfolded protein,2-Jan,146/18866,0.015418097,0.032054772,0.001100278,HSPA8,1
GO:0007034,vacuolar transport,2-Jan,150/18866,0.015838825,0.032054772,0.001100278,HSPA8,1
GO:0050684,regulation of mRNA processing,2-Jan,152/18866,0.016049155,0.032054772,0.001100278,HSPA8,1
GO:0043484,regulation of RNA splicing,2-Jan,156/18866,0.016469748,0.032054772,0.001100278,HSPA8,1
GO:1903900,regulation of viral life cycle,2-Jan,157/18866,0.016574882,0.032054772,0.001100278,HSPA8,1
GO:0010970,transport along microtubule,2-Jan,161/18866,0.016995362,0.032054772,0.001100278,HSPA8,1
