Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
YWHAG,GO:0003723,PMID:22658674,HDA,,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20140203,UniProt,,,
YWHAG,GO:0005080,PMID:10433554,IPI,UniProtKB:P04049,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20041130,UniProt,,,
YWHAG,GO:0005159,PMID:12482592,IPI,UniProtKB:P08069,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20041130,UniProt,,,
YWHAG,GO:0005515,PMID:10559254,IPI,UniProtKB:O43896,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:11237865,IPI,UniProtKB:Q12778,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20120708,UniProt,,,
YWHAG,GO:0005515,PMID:11504882,IPI,UniProtKB:P56524,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:11697890,IPI,UniProtKB:P04049,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:11697890,IPI,UniProtKB:P22681,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:12364343,IPI,UniProtKB:P49815,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20041130,UniProt,,,
YWHAG,GO:0005515,PMID:14743216,IPI,UniProtKB:Q99759,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:15696159,IPI,UniProtKB:P00519,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,,
YWHAG,GO:0005515,PMID:15778465,IPI,UniProtKB:P31947,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:16511560,IPI,UniProtKB:O15151,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:16511572,IPI,UniProtKB:O15151,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:16516142,IPI,UniProtKB:Q9HC77,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:16672277,IPI,UniProtKB:P30305,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:16959763,IPI,UniProtKB:P27448,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:16959763,IPI,UniProtKB:Q7KZI7,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:17085597,IPI,UniProtKB:P27348,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:17085597,IPI,UniProtKB:P31946,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:17085597,IPI,UniProtKB:P62258,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:17159145,IPI,UniProtKB:P56524,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:18045992,IPI,UniProtKB:P56524,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:18458160,IPI,UniProtKB:Q14678-2,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:18812399,IPI,UniProtKB:P04637,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
