term,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030055,cell-substrate junction,Jun-76,423/19559,0.006039781,0.029496604,0.020403666,YWHAG/CTNNB1/HSPA8/YWHAB/YWHAE/YWHAQ,6
GO:0060271,cilium assembly,15/76,377/18866,2.30E-11,5.85E-09,4.68E-09,YWHAG/CSNK1D/CSNK1E/HSP90AA1/HTT/KIF27/KIF3A/KIF3B/KIF3C/KIFAP3/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,15
GO:0044782,cilium organization,15/76,397/18866,4.77E-11,1.04E-08,8.31E-09,YWHAG/CSNK1D/CSNK1E/HSP90AA1/HTT/KIF27/KIF3A/KIF3B/KIF3C/KIFAP3/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,15
GO:0097711,ciliary basal body-plasma membrane docking,Sep-76,95/18866,1.53E-10,2.33E-08,1.86E-08,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:0140056,organelle localization by membrane tethering,Sep-76,171/18866,2.83E-08,2.40E-06,1.92E-06,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:0022406,membrane docking,Sep-76,180/18866,4.41E-08,3.54E-06,2.83E-06,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:0010389,regulation of G2/M transition of mitotic cell cycle,Sep-76,200/18866,1.09E-07,8.31E-06,6.65E-06,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:1902749,regulation of cell cycle G2/M phase transition,Sep-76,217/18866,2.18E-07,1.33E-05,1.06E-05,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:0090316,positive regulation of intracellular protein transport,Aug-76,182/18866,6.93E-07,3.91E-05,3.13E-05,YWHAG/HSP90AB1/KIF5B/PCM1/PCNT/YWHAB/YWHAE/YWHAQ,8
GO:0000086,G2/M transition of mitotic cell cycle,Sep-76,254/18866,8.19E-07,4.46E-05,3.57E-05,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:0051204,protein insertion into mitochondrial membrane,May-76,45/18866,1.00E-06,5.26E-05,4.21E-05,YWHAG/HSP90AA1/YWHAB/YWHAE/YWHAQ,5
GO:0033157,regulation of intracellular protein transport,Sep-76,264/18866,1.13E-06,5.74E-05,4.59E-05,YWHAG/HSP90AB1/KIF5B/PARL/PCM1/PCNT/YWHAB/YWHAE/YWHAQ,9
GO:0044839,cell cycle G2/M phase transition,Sep-76,273/18866,1.49E-06,6.53E-05,5.22E-05,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:0051222,positive regulation of protein transport,Oct-76,354/18866,1.52E-06,6.53E-05,5.22E-05,YWHAG/HSP90AB1/KIF5B/PANX1/PARD6A/PCM1/PCNT/YWHAB/YWHAE/YWHAQ,10
