Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
YWHAQ,GO:0005515,PMID:10954706,IPI,UniProtKB:P05783,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20070627,UniProt,,,
YWHAQ,GO:0005515,PMID:11697890,IPI,UniProtKB:P04049,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:11697890,IPI,UniProtKB:P22681,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:11984006,IPI,UniProtKB:Q99698,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20080612,UniProt,,,
YWHAQ,GO:0005515,PMID:14743216,IPI,UniProtKB:Q99759,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:15094368,IPI,UniProtKB:P22681,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:15196694,IPI,UniProtKB:P23945,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:15657067,IPI,UniProtKB:P00533,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:15660133,IPI,UniProtKB:Q8WYL5,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:16367866,IPI,UniProtKB:B7UM99,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,GO:0042995,,
YWHAQ,GO:0005515,PMID:16775625,IPI,UniProtKB:O94921,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:16868027,IPI,UniProtKB:Q9P0K1-3,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:16912074,IPI,UniProtKB:Q9UBF8,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:17085597,IPI,UniProtKB:P31946,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:17085597,IPI,UniProtKB:P61981,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:17085597,IPI,UniProtKB:P62258,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:17620599,IPI,UniProtKB:P32121,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:17620599,IPI,UniProtKB:P49407,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:18045992,IPI,UniProtKB:P56524,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:18458160,IPI,UniProtKB:Q14678,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:18458160,IPI,UniProtKB:Q14678-2,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:19172738,IPI,UniProtKB:Q9UQC2,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20091118,UniProt,,,
YWHAQ,GO:0005515,PMID:19289404,IPI,UniProtKB:P30304,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:19371722,IPI,UniProtKB:Q8WYL5,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:19559006,IPI,UniProtKB:Q14678,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:19640509,IPI,UniProtKB:Q96PX8,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20161128,UniProt,,,
YWHAQ,GO:0005515,PMID:19860830,IPI,UniProtKB:P67828,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:20029029,IPI,UniProtKB:P00533,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:20600589,IPI,UniProtKB:P23945,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:20642453,IPI,UniProtKB:Q5S007,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:20936779,IPI,UniProtKB:P62258,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:21988832,IPI,UniProtKB:O43896,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:21988832,IPI,UniProtKB:P28290,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:21988832,IPI,UniProtKB:P62258,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:21988832,IPI,UniProtKB:Q6WCQ1,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:21988832,IPI,UniProtKB:Q92934,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:23075850,IPI,UniProtKB:Q5S007,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:23572552,IPI,UniProtKB:Q8WUA7,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20160427,UniProt,,,
YWHAQ,GO:0005515,PMID:23572552,IPI,UniProtKB:Q9NU19,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20160427,UniProt,,,
YWHAQ,GO:0005515,PMID:23572552,IPI,UniProtKB:Q9UBF8,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20160427,UniProt,,,
YWHAQ,GO:0005515,PMID:23622247,IPI,UniProtKB:P61588,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:23752268,IPI,UniProtKB:P56524,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:24189400,IPI,UniProtKB:P00533,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:24255178,IPI,UniProtKB:P31946,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:24351927,IPI,UniProtKB:Q5S007,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:24658140,IPI,UniProtKB:P00533,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:24947832,IPI,UniProtKB:Q5S007,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:25416956,IPI,UniProtKB:Q8IWZ5,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:25588844,IPI,UniProtKB:Q6ZS17-2,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20170406,UniProt,,,
YWHAQ,GO:0005515,PMID:25852190,IPI,UniProtKB:P04049,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:25959826,IPI,UniProtKB:P54253,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:27030597,IPI,UniProtKB:O15553,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20210210,UniProt,,,
YWHAQ,GO:0005515,PMID:28330616,IPI,UniProtKB:P30304,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:28436939,IPI,UniProtKB:Q3KP66,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20170626,UniProt,,,
YWHAQ,GO:0005515,PMID:28514442,IPI,UniProtKB:O43896,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:28514442,IPI,UniProtKB:P04049,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:28514442,IPI,UniProtKB:P28290,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:28514442,IPI,UniProtKB:P31946,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:28514442,IPI,UniProtKB:P56524,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAQ,GO:0005515,PMID:28514442,IPI,UniProtKB:P61981,F,14-3-3 protein theta,,protein,NCBITaxon:9606,20240406,IntAct,,,
