ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa05022,Pathways of neurodegeneration - multiple diseases,27/100,476/8223,6.94E-12,3.63E-10,2.25E-10,APP/PSEN1/TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/HTT/TUBB/SQSTM1/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/CSNK1A1/GSK3B/TUBA1B/TUBA1C/TUBB2B/HAP1/PRKCA/CTNNB1/CSNK1E/TUBB2A,27
hsa05010,Alzheimer disease,24/100,384/8223,1.73E-11,7.22E-10,4.47E-10,APP/PSEN1/TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/AKT1/TUBB/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/CSNK1A1/GSK3B/TUBA1B/TUBA1C/TUBB2B/CTNNB1/CSNK1E/TUBB2A,24
hsa05012,Parkinson disease,20/100,266/8223,4.07E-11,1.39E-09,8.60E-10,TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/PRKACB/TUBA1A/PRKACG/TUBB/KIF5B/TUBB3/KLC3/KIF5C/KLC2/PRKACA/TUBB4A/TUBA1B/TUBA1C/TUBB2B/TUBB2A,20
hsa05016,Huntington disease,19/100,306/8223,3.44E-09,8.98E-08,5.56E-08,TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/HTT/TUBB/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/TUBA1B/TUBA1C/TUBB2B/HAP1/TUBB2A,19
hsa05014,Amyotrophic lateral sclerosis,20/100,364/8223,1.03E-08,2.39E-07,1.48E-07,TUBA4A/TUBA3C/TUBA3D/TUBB4B/KIF5A/TUBA1A/TUBB/SQSTM1/KIF5B/TUBB3/KLC3/KIF5C/KLC2/TUBB4A/TUBA1B/TUBA1C/TUBB2B/HDAC6/HAP1/TUBB2A,20
hsa04728,Dopaminergic synapse,9/100,132/8223,2.98E-05,0.000379529,0.000235115,KIF5A/PRKACB/AKT1/PRKACG/KIF5B/KIF5C/PRKACA/GSK3B/PRKCA,9
hsa05032,Morphine addiction,6/100,91/8223,0.00080551,0.006235242,0.003862678,PDE4C/PRKACB/PDE1C/PRKACG/PRKACA/PRKCA,6
hsa04727,GABAergic synapse,5/100,89/8223,0.00445775,0.023896516,0.014803684,PRKACB/PRKACG/PRKACA/HAP1/PRKCA,5
hsa04720,Long-term potentiation,4/100,67/8223,0.008789474,0.038270833,0.023708449,PRKACB/PRKACG/PRKACA/PRKCA,4
hsa05031,Amphetamine addiction,4/100,69/8223,0.00973288,0.039885724,0.02470886,PRKACB/PRKACG/PRKACA/PRKCA,4
hsa04725,Cholinergic synapse,5/100,113/8223,0.012004989,0.047340428,0.029326984,PRKACB/AKT1/PRKACG/PRKACA/PRKCA,5
hsa04726,Serotonergic synapse,5/100,115/8223,0.012880485,0.048945843,0.030321525,APP/PRKACB/PRKACG/PRKACA/PRKCA,5
hsa05030,Cocaine addiction,3/100,49/8223,0.021468547,0.069029637,0.04276326,PRKACB/PRKACG/PRKACA,3
hsa04724,Glutamatergic synapse,4/100,114/8223,0.049855991,0.121161652,0.07505859,PRKACB/PRKACG/PRKACA/PRKCA,4
