,Gene,Known PPIs,Novel PPIs,Novel Interactors
138,HSP90AB1,31,122,"AKAP9, AKT1, ALDH1A1, ANO2, ANO3, ANXA1, ANXA8, AP1G2, AP3B2, AP3M2, AP5B1, APOC1, APOO, APP, AR, ATXN10, AURKA, AVIL, CCDC3, CCDC33, CCDC37, CCDC39, CCDC40, CCDC41, CCDC42B, CCDC58, CCDC59, CCDC63, CCDC65, CCDC74A, CCDC74B, CCDC78, CCDC81, CCDC88A, CCL1, CCL15-CCL14, CDH23, CDHR1, CDHR3, CDK1, CDK2AP2, CDK5RAP2, CEP120, CEP290, CIT1, CITED4, CKAP5, CKS1B, CLASP1, CLC1, CLCF1, CLCN1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, EEF1A1, EEF1A2, EEF1B2, EEF2K, GSK3B, HAP1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HGS, HHIP, HHIPL2, HIF1A, HIGD1A, HIPK1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, HTT, PAFAH1B1, PRKACA, PRKACB, PRKACG, PRKAR1A, PRPH2, PSEN1, SQSTM1, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA4A, TUBA4B, TUBB, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBE1, TUBG1, TUBGCP2, TUBGCP3, VHL, YWHAB, YWHAE, YWHAG, YWHAQ, ZBBX"
182,HSPA8,50,118,"AKAP9, AKT1, ALDH1A1, ANO2, ANO3, ANXA1, ANXA8, AP1G2, AP3B2, AP3M2, AP5B1, APOC1, APOO, APP, AR, ATXN10, AURKA, AVIL, CCDC3, CCDC33, CCDC37, CCDC39, CCDC40, CCDC41, CCDC42B, CCDC58, CCDC59, CCDC63, CCDC65, CCDC74A, CCDC74B, CCDC78, CCDC81, CCDC88A, CCL1, CCL15-CCL14, CDH23, CDHR1, CDHR3, CDK1, CDK2AP2, CDK5RAP2, CEP120, CEP290, CIT1, CITED4, CKAP5, CKS1B, CLASP1, CLC1, CLCF1, CLCN1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, EEF1A1, EEF1A2, EEF1B2, EEF2K, GSK3B, HAP1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HGS, HHIP, HHIPL2, HIF1A, HIGD1A, HIPK1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPB11, HTT, PRKACA, PRKACB, PRKACG, PRKAR1A, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA4A, TUBA4B, TUBB, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBE1, TUBG1, TUBGCP2, TUBGCP3, VHL, YWHAB, YWHAE, YWHAG, YWHAQ, ZBBX"
141,HSP90AA1,33,104,"AKAP9, AKT1, ALDH1A1, ANO2, ANO3, ANXA1, ANXA8, AP1G2, AP3B2, AP3M2, AP5B1, APOC1, APOO, APP, AR, ATXN10, AURKA, AVIL, CCDC3, CCDC33, CCDC37, CCDC39, CCDC40, CCDC41, CCDC42B, CCDC58, CCDC59, CCDC63, CCDC65, CCDC74A, CCDC74B, CCDC78, CCDC81, CCDC88A, CCL1, CCL15-CCL14, CDH23, CDHR1, CDHR3, CDK1, CDK2AP2, CDK5RAP2, CEP120, CEP290, CIT1, CITED4, CKAP5, CKS1B, CLASP1, CLC1, CLCF1, CLCN1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, EEF1A1, EEF1A2, EEF1B2, EEF2K, GSK3B, HAP1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HGS, HHIP, HHIPL2, HIF1A, HIGD1A, HIPK1, HRASLS, HRNR, HSF1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, HTT, PAFAH1B1, PRKACA, PRKACB, PRKACG, PRPH2, PSEN1, SQSTM1, VHL, YWHAB, YWHAE, YWHAG, YWHAQ, ZBBX"
1,YWHAG,12,81,"CSHL1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, DDX6, DEFB1, DEFB115, HSP90AA1, HSP90AB1, HSPA8, HTT, KIF27, KIF2A, KIF3A, KIF3B, KIF3C, KIF5A, KIF5B, KIF5C, KIF7, KIF9, KIFAP3, KIZ, KLC2, KLC3, KLF8, KLHL13, NDE1, NDFIP2, NDP, PAFAH1B1, PAGE1, PAIP1, PALD1, PALM, PALM3, PANX1, PANX2, PAPD4, PARD3, PARD6A, PARL, PARM1, PARP4, PAX9, PBX4, PCAT1, PCCA, PCDH15, PCDH17, PCDHA13, PCDHA2, PCDHB11, PCDHB15, PCDP1, PCGF1, PCM1, PCMTD1, PCNT, PCP4, PCYT1A, PDAP1, PDC, PDCD2, PDCD2L, PDDC1, PDE12, PDE1C, PDE4C, PDE6A, PDE6B, PDE6D, PDE6G, YWHAB, YWHAE, YWHAQ, ZBBX"
103,YWHAQ,34,81,"CSHL1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, DDX6, DEFB1, DEFB115, HSP90AA1, HSP90AB1, HSPA8, HTT, KIF27, KIF2A, KIF3A, KIF3B, KIF3C, KIF5A, KIF5B, KIF5C, KIF7, KIF9, KIFAP3, KIZ, KLC2, KLC3, KLF8, KLHL13, NDE1, NDFIP2, NDP, PAFAH1B1, PAGE1, PAIP1, PALD1, PALM, PALM3, PANX1, PANX2, PAPD4, PARD3, PARD6A, PARL, PARM1, PARP4, PAX9, PBX4, PCAT1, PCCA, PCDH15, PCDH17, PCDHA13, PCDHA2, PCDHB11, PCDHB15, PCDP1, PCGF1, PCM1, PCMTD1, PCNT, PCP4, PCYT1A, PDAP1, PDC, PDCD2, PDCD2L, PDDC1, PDE12, PDE1C, PDE4C, PDE6A, PDE6B, PDE6D, PDE6G, YWHAB, YWHAE, YWHAG, ZBBX"
28,YWHAE,38,78,"CSHL1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, DDX6, DEFB1, DEFB115, HSP90AA1, HSP90AB1, HSPA8, HTT, KIF27, KIF2A, KIF3A, KIF3B, KIF3C, KIF5A, KIF5B, KIF5C, KIF7, KIF9, KIFAP3, KIZ, KLC2, KLC3, KLF8, KLHL13, PAFAH1B1, PAGE1, PAIP1, PALD1, PALM, PALM3, PANX1, PANX2, PAPD4, PARD3, PARD6A, PARL, PARM1, PARP4, PAX9, PBX4, PCAT1, PCCA, PCDH15, PCDH17, PCDHA13, PCDHA2, PCDHB11, PCDHB15, PCDP1, PCGF1, PCM1, PCMTD1, PCNT, PCP4, PCYT1A, PDAP1, PDC, PDCD2, PDCD2L, PDDC1, PDE12, PDE1C, PDE4C, PDE6A, PDE6B, PDE6D, PDE6G, YWHAB, YWHAG, YWHAQ, ZBBX"
111,PRKACG,5,60,"AKAP1, AKAP14, AKAP3, AKAP4, AKAP9, AKR1B10, AKR1C2, AKR7A3, AKT1, ALDH1A1, ANO2, ANO3, ANXA1, ANXA8, AP1G2, AP3B2, AP3M2, AP5B1, APOC1, APOO, APP, AR, ARAP3, CDK2AP2, CDK5RAP2, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTNNB1, GSK3B, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSPA4L, HSPA8, NOTCH1, NOTO, NOVA1, NPC2, NPHP1, PRKACA, PRKACB, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCA"
44,HDAC6,28,55,"ATXN10, AURKA, AVIL, CTD-3148I10.1, CTNNB1, CTNNBIP1, GSK3B, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HGS, HHIP, HHIPL2, HIF1A, HIGD1A, HIPK1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, HTT, PRKACA, PRKACB, PRKACG, PRPH2, PSEN1, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA4A, TUBA4B, TUBB, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBE1, TUBG1, TUBGCP2, TUBGCP3"
84,PRKACB,12,55,"AKAP1, AKAP14, AKAP3, AKAP4, AKAP9, AKR1B10, AKR1C2, AKR7A3, AKT1, ALDH1A1, ANO2, ANO3, ANXA1, ANXA8, AP1G2, AP3B2, AP3M2, AP5B1, APOC1, APOO, APP, AR, ARAP3, CDK2AP2, CDK5RAP2, GSK3B, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSPA4L, HSPA8, NOTCH1, NOTO, NOVA1, NPC2, NPHP1, PRKACA, PRKACG, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCA"
151,PRKACA,21,55,"AKAP1, AKAP14, AKAP3, AKAP4, AKAP9, AKR1B10, AKR1C2, AKR7A3, AKT1, ALDH1A1, ANO2, ANO3, ANXA1, ANXA8, AP1G2, AP3B2, AP3M2, AP5B1, APOC1, APOO, APP, AR, ARAP3, CDK2AP2, CDK5RAP2, GSK3B, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSPA4L, HSPA8, NOTCH1, NOTO, NOVA1, NPC2, NPHP1, PRKACB, PRKACG, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCA"
117,HTT,12,49,"HAP1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HGS, HHIP, HHIPL2, HIF1A, HIGD1A, HIPK1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA4A, TUBA4B, TUBB, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBE1, TUBG1, TUBGCP2, TUBGCP3, YWHAB, YWHAE, YWHAG, YWHAQ, ZBBX"
