Official Symbol Interactor A,Official Symbol Interactor B,Interactor A Encoded,Interactor B Encoded,Prediction_Prob,Prediction
AKAP9,GTF2H1,72,1048,0.98,1
AKAP9,DNAH7,72,683,0.98,1
AKAP9,HSP90B1,72,1123,0.99,1
AKAP9,GSTA2,72,1044,0.99,1
AKAP9,HSPA8,72,1128,0.99,1
AKAP9,GUCA1C,72,1052,0.98,1
AKAP9,CTNNB1,72,587,0.98,1
AKAP9,DNAI1,72,686,0.98,1
AKAP9,DNMT3A,72,700,0.99,1
AKAP9,GUCA1B,72,1051,0.98,1
AKAP9,GUCA2B,72,1053,0.98,1
AKAP9,GSK3B,72,1041,0.99,1
AKAP9,GSTM5,72,1046,0.98,1
AKAP9,Gsk3b,72,1060,0.98,1
AKAP9,HSPA4L,72,1126,0.99,1
AKAP9,DNALI1,72,697,0.99,1
AKAP9,GSTM3,72,1045,0.98,1
AKAP9,HSP90AA1,72,1120,0.99,1
AKAP9,DNAL4,72,696,0.99,1
AKAP9,DNAH5,72,681,0.98,1
AKAP9,Gfap,72,1057,0.98,1
AKAP9,DNAH3,72,680,0.98,1
AKAP9,CTNNAL1,72,586,0.98,1
AKAP9,CTSO,72,588,0.98,1
AKAP9,DNHD1,72,698,0.99,1
AKAP9,Gm4779,72,1058,0.98,1
AKAP9,DNAL1,72,695,0.99,1
AKAP9,GSN,72,1042,0.99,1
AKAP9,CSNK1A1,72,568,0.99,1
AKAP9,CSGALNACT1,72,567,0.99,1
AKAP9,HSPA5,72,1127,0.99,1
AKAP9,GSTA1,72,1043,0.99,1
AKAP9,Gm8129,72,1059,0.98,1
AKAP9,DNAJC27,72,693,0.98,1
AKAP9,CSNK1E,72,570,0.99,1
AKAP9,GRXCR1,72,1039,0.99,1
AKAP9,GUCY2F,72,1055,0.98,1
AKAP9,GSF2,72,1040,0.99,1
AKAP9,HSPA12B,72,1124,0.99,1
AKAP9,DNAJB13,72,690,0.98,1
AKAP9,CSNK1G1,72,571,0.99,1
AKAP9,DNAJA1,72,688,0.98,1
AKAP9,HSP90AB1,72,1122,0.99,1
AKAP9,DNAH9,72,685,0.98,1
AKAP9,DNAI2,72,687,0.98,1
AKAP9,HSP90AA5P,72,1121,0.99,1
AKAP9,HSPA1L,72,1125,0.99,1
AKAP9,DNM2,72,699,0.99,1
AKAP9,GUCY2D,72,1054,0.98,1
AKAP9,CSNK1D,72,569,0.99,1
AKAP9,GUCA1A,72,1050,0.98,1
AKAP9,DNAH6,72,682,0.98,1
AKAP9,GYPA,72,1056,0.98,1
AKAP9,GTT1,72,1049,0.98,1
AKAP9,GTF2E1,72,1047,0.98,1
AKAP9,CTD-3148I10.1,72,585,0.98,1
AKAP9,DNAH8,72,684,0.98,1
AKAP9,DNAJC6,72,694,0.99,1
AKAP9,DNAJA4,72,689,0.98,1
AKAP9,DNAJC13,72,691,0.98,1
AKAP9,Gtf2e2,72,1061,0.98,1
AKAP9,HSPBP1,72,1130,0.99,1
AKAP9,DNAJC25-GNG10,72,692,0.98,1
AKAP9,HSPB11,72,1129,0.99,1
APP,GTF2H1,118,1048,0.99,1
APP,DNAH7,118,683,0.99,1
APP,HSP90B1,118,1123,1.0,1
APP,YTHDF2,118,2632,1.0,1
APP,GSTA2,118,1044,1.0,1
APP,HSPA8,118,1128,1.0,1
APP,GUCA1C,118,1052,0.99,1
APP,CTNNB1,118,587,0.98,1
APP,DNAI1,118,686,0.99,1
APP,DNMT3A,118,700,1.0,1
APP,GUCA1B,118,1051,0.99,1
APP,GUCA2B,118,1053,0.99,1
APP,GSK3B,118,1041,1.0,1
APP,GSTM5,118,1046,0.99,1
APP,Gsk3b,118,1060,0.99,1
APP,HSPA4L,118,1126,1.0,1
APP,DNALI1,118,697,1.0,1
APP,ZBBX,118,2638,1.0,1
APP,GSTM3,118,1045,0.99,1
APP,HSP90AA1,118,1120,1.0,1
